,Superficie,Precio Venta,Fecha Venta,Vendedor
0,291,2133903,2004-06-19,Carmen
1,199,1945424,2004-04-19,Pedro
2,82,712416,2004-11-08,Joaquín
3,285,1815450,2004-04-27,Jesús
4,152,1138024,2004-07-10,María
5,131,953156,2004-09-05,Pedro
6,69,406686,2004-06-07,Pedro
7,235,2158475,2004-10-31,Jesús
8,108,1024380,2004-12-28,Jesús
9,299,2042768,2004-10-06,Joaquín
10,124,627068,2004-10-28,Pedro
11,187,999328,2004-04-05,Carmen
12,300,2937300,2004-11-04,Jesús
13,68,664700,2004-10-01,Carmen
14,176,820336,2004-11-29,Pedro
15,179,937960,2004-11-21,Carmen
16,58,358846,2004-10-08,Luisa
17,283,1679605,2004-06-06,Carmen
18,55,472615,2004-04-09,Luisa
19,148,1169496,2004-08-19,María
20,228,2020992,2004-06-12,Carmen
21,116,727552,2004-04-14,Pedro
22,183,1438929,2004-04-21,Luisa
23,79,427390,2004-12-01,Joaquín
24,124,1170684,2004-05-23,Jesús
25,70,549780,2004-06-22,Jesús
26,70,659330,2004-12-23,Pedro
27,187,1660560,2004-06-16,Joaquín
28,91,753571,2004-07-07,Luisa
29,201,939072,2004-08-04,Carmen
30,142,1405374,2004-09-24,Jesús
31,92,627348,2004-04-12,María
32,181,1504110,2004-07-03,María
33,281,2483197,2004-11-01,María
34,257,1799771,2004-12-31,Luisa
35,140,1054340,2004-12-02,Luisa
36,229,1160572,2004-07-09,Pedro
37,300,1492800,2004-12-08,Joaquín
38,215,1154980,2005-01-14,Joaquín
39,182,1057784,2004-07-22,Jesús
40,230,1421860,2004-09-23,Jesús
41,168,1426992,2004-11-20,Jesús
42,74,579716,2004-09-22,María
43,278,1537062,2004-12-16,María
44,287,2851058,2005-01-02,Joaquín
45,224,1294048,2004-10-29,Carmen
46,53,249418,2004-08-11,Luisa
47,284,1457488,2004-07-06,Jesús
48,40,321680,2005-01-11,Jesús
49,235,957625,2004-11-13,Carmen
50,90,568620,2004-12-14,Joaquín
51,206,1605564,2004-09-26,María
52,158,1438748,2004-10-17,Carmen
53,71,686996,2004-05-30,Luisa
54,127,983234,2004-07-09,Carmen
55,54,239220,2004-05-01,María
56,54,512730,2004-07-04,Carmen
57,274,2287626,2004-12-21,María
58,166,1373816,2004-11-19,Joaquín
59,270,1920240,2004-06-28,Jesús
60,120,1140840,2004-09-12,Carmen
61,178,1142938,2005-01-23,Joaquín
62,144,738144,2004-09-06,Luisa
63,57,509010,2004-10-13,María
64,144,1436832,2004-05-26,Luisa
65,272,2119424,2004-12-24,Pedro
66,219,948927,2004-10-15,Jesús
67,68,376992,2004-06-28,Luisa
68,248,2212408,2004-10-09,María
69,179,1647695,2004-07-12,María
70,235,1939925,2004-11-01,Carmen
71,216,1478952,2004-10-15,Carmen
72,62,320044,2004-09-04,Joaquín
73,229,1098055,2004-10-22,Joaquín
74,41,187862,2004-08-14,Jesús
75,234,1757106,2004-12-28,Pedro
